claim_id,policy_id,incident_date,incident_type,claim_amount_usd,status,cycle_time_days
6bcd8853-dd20-4599-b3ef-c440fa47f05d,39b54ace-0c86-467f-bceb-de83197c8259,2022-11-08,Medical,24748.89,Approved,16
a1ced995-e31c-4237-8f96-1cf4e64160c0,5a6d9a15-cb1d-4947-8707-d3a6e3e2b1b1,2022-03-04,Accident,7389.16,Open,19
3a753824-a12c-49eb-ae4d-425f532fd5e8,faae6539-57ae-4d5e-9cc5-8d741c02d45d,2021-02-04,Weather,16543.87,Open,16
4c451269-129c-4da0-9c48-276606d6f43f,2e4b653c-cd8d-4550-bc7c-2f84e2beec9d,2023-11-27,Accident,10781.01,Approved,19
5ca58e14-07d0-42fc-9cdf-3260f0ca0694,8ee353b0-1dfc-4bc3-a794-26cad845006e,2021-11-04,Accident,11105.25,Approved,17
3de1fd53-8ab2-4b3d-91a9-610476b867fa,910344e4-3608-4d59-9242-6e0a47a07585,2024-04-21,Accident,2748.15,Approved,24
56e5134b-f4f0-4425-8311-c7dda56651f3,83d4ca3a-81ae-487a-9ef3-48cfc9747b00,2025-07-27,Accident,47492.78,Approved,23
4dc0e6c1-9e11-41a1-b501-6529011b406d,e4473f14-7689-4123-95e1-c85e1be1144a,2024-03-22,Accident,20559.05,Approved,14
d1964794-8e93-489c-9104-bb3a657445e3,51153c3f-3003-4bb7-b72d-da969950d442,2025-04-16,Medical,48642.44,Under Review,7
92f3ea17-9f06-4a8f-a6e9-2473e1349039,d6a2db1a-1d27-4de0-9bb5-7736ccc36a9f,2022-09-23,Medical,17970.17,Approved,17
28aca265-0224-423d-8e88-c7182310144a,b434c410-6600-4b5e-b6c3-d57d87b5a5d3,2025-04-14,Medical,31897.11,Open,15
82ea07e0-6543-416f-a055-462935905f70,1358f2d5-06ee-4141-9743-bfe1b11d2353,2024-08-09,Accident,845.48,Under Review,20
ea3e3648-be6b-43a4-8af0-4126165bcba1,af4316a6-d4aa-4185-93c5-2285be9d8b4d,2020-01-09,Weather,27934.26,Under Review,20
1721865c-5256-4253-8779-377260ac826e,61380b9f-eae3-4aea-9b67-738b0f5f7651,2020-04-10,Accident,39746.81,Approved,14
8ce94eb8-b4fd-4790-8c1b-7b1ba06fc694,4a6115d6-113f-4e72-a639-dcdec4b9fde4,2025-02-22,Medical,48158.37,Approved,14
05aa5162-4e1d-4a47-9d7b-40745f2d9a36,35a7b745-3713-4a23-a4f3-4bc000c8d39d,2024-09-08,Accident,38195.29,Open,13
c777f64c-9cac-4e24-ac5c-ee4e6a9a1a1b,aa798e39-fe94-4711-9e2a-ffa7709bae5b,2025-03-22,Medical,15709.06,Under Review,14
b14268b3-d585-4392-808a-a9e4085cc864,ce73147c-41f6-404e-96ab-ade4cc7d75e3,2024-02-18,Weather,333.43,Open,17
bee11753-0953-49d2-9bd2-2ff37823b4f8,6f5fac73-23d0-4e55-9709-16a6d32a7ea2,2023-06-11,Medical,15154.38,Approved,21
a2dd2320-97cd-4d9d-970a-3519c9dffdd4,39021a7a-669d-438a-bad0-8dbb1ce69a0f,2022-10-06,Theft,7241.9,Under Review,17
5b3a86b8-60dd-40d5-be9b-e1d0c7c55d12,a0b43d8c-a3d7-4fb0-af83-f2ef8b2cf68a,2022-04-26,Other,48172.95,Approved,22
405c98e5-c6d9-4d9a-ba72-492ca60e51b2,36296730-9587-4fe0-b462-b5115ae47362,2024-09-03,Weather,26108.37,Approved,18
56379e56-6088-4566-abcb-5c9b1d5ca8b2,cafab549-4d17-4ce4-826e-e54c4bea8e5f,2023-07-26,Weather,26734.5,Approved,17
4b68c24e-db81-4cab-8960-105da9ee70db,a25f04cc-3fb0-4141-b90f-2232e545c3d5,2020-03-01,Weather,13042.67,Under Review,16
45ea03c0-71ad-4a65-a5dd-2555734c2353,d51d427b-601d-46b2-9901-991fd06ddaf9,2021-04-19,Accident,14372.25,Open,21
6249ece2-e4a2-43cf-a412-864f1fbd5394,3ab0114b-8b4d-4601-bcac-0888bf81d651,2025-04-20,Accident,35118.3,Under Review,20
f313c131-39a8-49a7-8c20-3e4aff497cd4,9210d873-6b69-4bb9-9c8d-d02e4b03d587,2022-01-13,Medical,33892.96,Approved,13
