payment_id,policy_id,payment_date,amount_usd,method,is_late
3c38a936-4856-4d58-afde-71c09e8ac042,39b54ace-0c86-467f-bceb-de83197c8259,2022-11-08,868.47,ACH,0
27bc6729-7879-46f1-bbde-f7d6cbd7a463,8976697b-64d5-49f8-b94e-bba6ed183efd,2025-01-12,419.63,ACH,0
edfeb807-470f-4e55-a0a5-dd146ee4e571,94a310f6-ce68-4b07-a6d9-238048d417d7,2020-04-17,331.88,ACH,0
12206b46-f0eb-4df9-897d-fa729f5da5c6,528b6116-5f9e-483f-93ac-005f254b076b,2024-08-22,455.8,ACH,0
8c65cbdc-bffb-4fcd-b9ac-77078fdddfdd,5fafddd6-2bf4-44aa-9928-785f6806265e,2022-11-01,445.64,Card,0
ff7fc927-1ca0-4841-bc78-c796054b1475,86e6782e-fe5a-4a00-bdfe-f0e12b555d3c,2021-08-21,887.51,ACH,0
94fd6798-77b3-4439-a831-aee3903ea62b,15fea146-e0cc-405c-b5a2-97016a32942a,2024-02-10,418.84,ACH,0
5eec3f6d-d5d4-4c0c-a0b9-80ada9e0d158,ebee06c9-aa3f-4fb4-af8d-0f92c271d64a,2023-08-15,663.17,ACH,1
d225af75-ac79-4528-bc1e-8d15f41bc824,91142f5a-740c-4406-b8fb-75e690fe7d07,2023-05-26,187.19,ACH,0
ffb0c866-d622-4e29-9c94-6b6074169ebb,1f245de2-2647-4373-8097-2cdcc02bd060,2023-03-20,645.59,ACH,0
8040718d-a6cb-496f-929f-3a1c81d6c12d,fc4f91ee-9dfb-45d2-9566-dcef323a8285,2025-03-17,530.77,ACH,0
d1c7a6d7-2c20-40a0-b74c-5860085dd964,8bd68281-47c7-41d7-97a8-829633d634ba,2021-01-10,520.79,ACH,0
f5d1ee89-3610-48b4-b216-0c887fa78dba,fdb76d16-0578-455d-84f8-32bdb077ff83,2021-09-25,121.8,Card,0
572a64a1-c8f1-49db-bc5b-df2d50821458,bf3bc51f-bb1e-4a1f-8819-08b67b9ff6a8,2020-04-06,326.84,Card,0
b72a769b-b463-4f7a-b0e2-fe34bffcdb7e,164b92fa-3d8b-4ede-b35f-a14ee36bfa08,2024-08-05,175.53,Card,0
355e508a-71c4-4278-a637-89d3bca819ea,c83e5ec0-1641-4315-99a9-17d30d777940,2022-02-18,276.72,ACH,0
afe9c7db-4001-401e-81f0-744377caa0af,8eed37fe-5961-45c5-817f-f0158e315eb2,2023-06-27,100.48,ACH,0
38c414cf-ecfe-4070-b1c5-4a25bc0a8388,cd00e128-0ce3-4e69-82ab-661347a041fa,2022-08-11,144.83,Card,0
